City,Year,Month,Day,pm25
BATON ROUGE / CAPITOL 001,2011,1,1,60
BATON ROUGE / CAPITOL 001,2011,1,2,57
BATON ROUGE / CAPITOL 001,2011,1,3,48
BATON ROUGE / CAPITOL 001,2011,1,4,143
BATON ROUGE / CAPITOL 001,2011,1,5,96
BATON ROUGE / CAPITOL 001,2011,1,6,123
BATON ROUGE / CAPITOL 001,2011,1,7,54
BATON ROUGE / CAPITOL 001,2011,1,8,58
BATON ROUGE / CAPITOL 001,2011,1,9,41
BATON ROUGE / CAPITOL 001,2011,1,10,82
BATON ROUGE / CAPITOL 001,2011,1,11,71
BATON ROUGE / CAPITOL 001,2011,1,12,79
BATON ROUGE / CAPITOL 001,2011,1,13,91
BATON ROUGE / CAPITOL 001,2011,1,14,99
BATON ROUGE / CAPITOL 001,2011,1,15,114
BATON ROUGE / CAPITOL 001,2011,1,16,138
BATON ROUGE / CAPITOL 001,2011,1,17,108
BATON ROUGE / CAPITOL 001,2011,1,18,112
BATON ROUGE / CAPITOL 001,2011,1,19,87
BATON ROUGE / CAPITOL 001,2011,1,20,85
BATON ROUGE / CAPITOL 001,2011,1,21,67
BATON ROUGE / CAPITOL 001,2011,1,22,118
BATON ROUGE / CAPITOL 001,2011,1,23,177
BATON ROUGE / CAPITOL 001,2011,1,24,61
BATON ROUGE / CAPITOL 001,2011,1,25,68
BATON ROUGE / CAPITOL 001,2011,1,26,102
BATON ROUGE / CAPITOL 001,2011,1,27,82
BATON ROUGE / CAPITOL 001,2011,1,28,101
BATON ROUGE / CAPITOL 001,2011,1,29,242
BATON ROUGE / CAPITOL 001,2011,1,30,96
BATON ROUGE / CAPITOL 001,2011,1,31,97
BATON ROUGE / CAPITOL 001,2011,2,1,64
BATON ROUGE / CAPITOL 001,2011,2,2,73
BATON ROUGE / CAPITOL 001,2011,2,3,72
BATON ROUGE / CAPITOL 001,2011,2,4,52
BATON ROUGE / CAPITOL 001,2011,2,5,64
BATON ROUGE / CAPITOL 001,2011,2,6,79
BATON ROUGE / CAPITOL 001,2011,2,7,89
BATON ROUGE / CAPITOL 001,2011,2,8,126
BATON ROUGE / CAPITOL 001,2011,2,9,85
BATON ROUGE / CAPITOL 001,2011,2,10,65
BATON ROUGE / CAPITOL 001,2011,2,11,60
BATON ROUGE / CAPITOL 001,2011,2,12,94
BATON ROUGE / CAPITOL 001,2011,2,13,85
BATON ROUGE / CAPITOL 001,2011,2,14,84
BATON ROUGE / CAPITOL 001,2011,2,15,106
BATON ROUGE / CAPITOL 001,2011,2,16,102
BATON ROUGE / CAPITOL 001,2011,2,17,98
BATON ROUGE / CAPITOL 001,2011,2,18,105
BATON ROUGE / CAPITOL 001,2011,2,19,118
BATON ROUGE / CAPITOL 001,2011,2,20,79
