City,Date,PM 2.5 Value
Alexandria,1/3/2011,9.7
Alexandria,1/6/2011,5.2
Alexandria,1/9/2011,9.9
Alexandria,1/12/2011,6.7
Alexandria,1/15/2011,12.1
Alexandria,1/18/2011,10.6
Alexandria,1/21/2011,7.9
Alexandria,1/24/2011,7.6
Alexandria,1/27/2011,13.3
Alexandria,1/30/2011,9.1
Alexandria,2/2/2011,16.3
Alexandria,2/5/2011,22.8
Alexandria,2/8/2011,15.5
Alexandria,2/11/2011,17.8
Alexandria,2/14/2011,10.7
Alexandria,2/17/2011,7.9
Alexandria,2/20/2011,4.3
Alexandria,2/23/2011,2.8
Alexandria,2/26/2011,6.5
Alexandria,3/1/2011,11.3
Alexandria,3/4/2011,7.3
Alexandria,3/7/2011,6.5
Alexandria,3/10/2011,9.5
Alexandria,3/13/2011,6.7
Alexandria,3/16/2011,9.1
Alexandria,3/19/2011,10.7
Alexandria,3/22/2011,11.2
Alexandria,3/25/2011,15
Alexandria,3/28/2011,13.4
Alexandria,3/31/2011,28.2
Alexandria,4/3/2011,2.7
Alexandria,4/6/2011,13
Alexandria,4/9/2011,14.9
Alexandria,4/12/2011,11.9
Alexandria,4/15/2011,3.5
Alexandria,4/18/2011,9.8
Alexandria,4/21/2011,0.5
Alexandria,4/24/2011,6.8
Alexandria,4/27/2011,8.8
Alexandria,4/30/2011,6.7
Alexandria,5/3/2011,3.8
Alexandria,5/6/2011,9.7
Alexandria,5/9/2011,10.75
Alexandria,5/12/2011,16.9
Alexandria,5/15/2011,8.9
Alexandria,5/18/2011,11.4
Alexandria,5/21/2011,8.1
Alexandria,5/24/2011,6.75
Alexandria,5/27/2011,12.4
Alexandria,5/30/2011,7
Alexandria,6/2/2011,11.8
Alexandria,6/5/2011,10.9
Alexandria,6/8/2011,6.1
Alexandria,6/11/2011,6.7
Alexandria,6/14/2011,6.8
Alexandria,6/17/2011,7.5
Alexandria,6/20/2011,4.3
Alexandria,6/23/2011,6.2
Alexandria,6/26/2011,6.7
Alexandria,6/29/2011,6.2
Alexandria,7/2/2011,8.6
Alexandria,7/5/2011,1.9
Alexandria,7/8/2011,6.4
Alexandria,7/11/2011,7
Alexandria,7/14/2011,5.8
Alexandria,7/17/2011,4.3
Alexandria,7/20/2011,9.3
Alexandria,7/23/2011,11.6
Alexandria,7/26/2011,10
Alexandria,7/29/2011,8.1
Alexandria,8/1/2011,5.1
Alexandria,8/4/2011,7.4
Alexandria,8/7/2011,6.4
Alexandria,8/10/2011,8.3
Alexandria,8/13/2011,6.5
Alexandria,8/16/2011,6
Alexandria,8/19/2011,6.4
Alexandria,8/22/2011,16.3
Alexandria,8/25/2011,7.9
Alexandria,8/28/2011,9.3
Alexandria,8/31/2011,28.2
Alexandria,9/3/2011,6.3
Alexandria,9/6/2011,9.4
Alexandria,9/9/2011,8.675
Alexandria,9/12/2011,10.7
Alexandria,9/15/2011,8
Alexandria,9/18/2011,9.05
Alexandria,9/21/2011,5.7
Alexandria,9/24/2011,6.7
Alexandria,9/27/2011,7.7
Alexandria,9/29/2011,5.8
Alexandria,9/30/2011,6.8
Alexandria,10/3/2011,8.8
Alexandria,10/4/2011,5.1
Alexandria,10/6/2011,9.1
Alexandria,10/9/2011,6.6
Alexandria,10/11/2011,5.5
Alexandria,10/12/2011,5.8
Alexandria,10/13/2011,4.9
Alexandria,10/15/2011,7.1
Alexandria,10/18/2011,6.7
Alexandria,10/21/2011,11.8
Alexandria,10/22/2011,8.8
Alexandria,10/23/2011,6.1
Alexandria,10/24/2011,9.2
Alexandria,10/25/2011,4.1
Alexandria,10/26/2011,4.1
Alexandria,10/27/2011,4
Alexandria,10/30/2011,28.3
Alexandria,11/2/2011,12.3
Alexandria,11/11/2011,6
Alexandria,11/12/2011,5
Alexandria,11/14/2011,12.2
Alexandria,11/17/2011,6.9
Alexandria,11/20/2011,5.9
Alexandria,11/23/2011,6.2
Alexandria,11/26/2011,3.2
Alexandria,11/29/2011,5.4
Alexandria,12/2/2011,3.3
Alexandria,12/5/2011,6.9
Alexandria,12/8/2011,4.3
Alexandria,12/11/2011,4.4
Alexandria,12/14/2011,8.4
Alexandria,12/17/2011,8.5
Alexandria,12/20/2011,4.3
Alexandria,12/23/2011,9.7
Alexandria,12/24/2011,8.3
Alexandria,12/25/2011,7.3
Alexandria,12/26/2011,5.2
Alexandria,12/27/2011,10.2
Alexandria,12/29/2011,23
Alexandria,1/1/2012,2.8
Alexandria,1/4/2012,6
Alexandria,1/7/2012,6.8
Alexandria,1/10/2012,8.4
Alexandria,1/13/2012,3.1
Alexandria,1/16/2012,4.4
Alexandria,1/19/2012,5.5
Alexandria,1/22/2012,8.4
Alexandria,1/25/2012,13.4
Alexandria,1/28/2012,7.7
Alexandria,1/31/2012,8.8
Alexandria,2/3/2012,4.2
Alexandria,2/6/2012,4.5
Alexandria,2/9/2012,6.7
Alexandria,2/12/2012,1.9
Alexandria,2/15/2012,5.5
Alexandria,2/18/2012,4.7
Alexandria,2/21/2012,6.2
Alexandria,2/24/2012,3.5
Alexandria,2/27/2012,7
Alexandria,3/1/2012,9.4
Alexandria,3/4/2012,5
Alexandria,3/7/2012,5.7
Alexandria,3/10/2012,5.6
Alexandria,3/13/2012,6
Alexandria,3/16/2012,5.7
Alexandria,3/19/2012,5.3
Alexandria,3/22/2012,5.8
Alexandria,3/24/2012,6.3
Alexandria,3/25/2012,9.7
Alexandria,3/28/2012,16.2
Alexandria,3/31/2012,7.5
Alexandria,4/3/2012,7.3
Alexandria,4/6/2012,7.2
Alexandria,4/9/2012,9.1
Alexandria,4/12/2012,6.3
Alexandria,4/15/2012,4.9
Alexandria,4/18/2012,3.5
Alexandria,4/19/2012,4.6
Alexandria,4/21/2012,3.2
Alexandria,4/24/2012,11.5
Alexandria,4/27/2012,6.5
Alexandria,4/30/2012,7.8
Alexandria,5/2/2012,5.7
Alexandria,5/3/2012,4.7
Alexandria,5/6/2012,11.8
Alexandria,5/9/2012,8
Alexandria,5/10/2012,8.8
Alexandria,5/12/2012,2.2
Alexandria,5/15/2012,7.65
Alexandria,5/16/2012,13.1
Alexandria,5/17/2012,14.4
Alexandria,5/18/2012,29.5
Alexandria,5/21/2012,17.2
Alexandria,5/24/2012,11.4
Alexandria,5/27/2012,13.3
Alexandria,5/30/2012,10.8
Alexandria,6/2/2012,11.35
Alexandria,6/5/2012,11.625
Alexandria,6/7/2012,11.9
Alexandria,6/9/2012,7.1
Alexandria,6/10/2012,7.2
Alexandria,6/11/2012,7.7
Alexandria,6/12/2012,5.4
Alexandria,6/14/2012,6.9
Alexandria,6/17/2012,8.4
Alexandria,6/20/2012,8.6
Alexandria,6/23/2012,14.6
Alexandria,6/25/2012,13.8
Alexandria,6/26/2012,17.2
Alexandria,6/29/2012,18.7
Alexandria,7/2/2012,12.9
Alexandria,7/5/2012,9.7
Alexandria,7/8/2012,6.7
Alexandria,7/11/2012,4.8
Alexandria,7/14/2012,3.5
Alexandria,7/17/2012,3.8
Alexandria,7/20/2012,6.2
Alexandria,7/23/2012,5.7
Alexandria,7/26/2012,4.8
Alexandria,7/29/2012,15.3
Alexandria,7/30/2012,19.7
Alexandria,8/1/2012,12.7
Alexandria,8/4/2012,9.2
Alexandria,8/7/2012,7.3
Alexandria,8/10/2012,9.9
Alexandria,8/13/2012,5.8
Alexandria,8/16/2012,9.2
Alexandria,8/19/2012,6.9
Alexandria,8/22/2012,13.8
Alexandria,8/25/2012,5.1
Alexandria,8/28/2012,9.4
Alexandria,8/31/2012,5.3
Alexandria,9/3/2012,8.8
Alexandria,9/6/2012,8.6
Alexandria,9/9/2012,4.8
Alexandria,9/12/2012,7.8
Alexandria,9/15/2012,11.1
Alexandria,9/18/2012,9.4
Alexandria,9/21/2012,12.8
Alexandria,9/24/2012,16.7
Alexandria,9/27/2012,12.8
Alexandria,9/30/2012,3
Alexandria,10/3/2012,12
Alexandria,10/6/2012,7.5
Alexandria,10/9/2012,11
Alexandria,10/12/2012,15.8
Alexandria,10/15/2012,7.7
Alexandria,10/18/2012,5.1
Alexandria,10/21/2012,6.6
Alexandria,10/24/2012,9.4
Alexandria,10/27/2012,4.7
Alexandria,10/30/2012,8.4
Alexandria,11/2/2012,9.5
Alexandria,11/5/2012,14.6
Alexandria,11/8/2012,6
Alexandria,11/11/2012,4.8
Alexandria,11/14/2012,6.45
Alexandria,11/15/2012,8.1
Alexandria,11/18/2012,11.35
Alexandria,11/20/2012,14.6
Alexandria,11/21/2012,11.5
Alexandria,11/23/2012,15.4
Alexandria,11/26/2012,6.9
Alexandria,11/29/2012,8.2
Alexandria,12/2/2012,2
Alexandria,12/5/2012,2.9
Alexandria,12/8/2012,5.1
Alexandria,12/11/2012,5.1
Alexandria,12/14/2012,5.8
Alexandria,12/17/2012,5.8
Alexandria,12/20/2012,5.8
Alexandria,12/21/2012,3.1
Alexandria,12/23/2012,3.8
Alexandria,12/26/2012,5.85
Alexandria,12/29/2012,7.9
Alexandria,1/1/2013,4.2
