Year,Parish,Rate,Count,Population
2010,Acadia,78.9,54,61876
2010,Allen,73.8,20,25704
2010,Ascension,67.1,59,107894
2010,Assumption,72.6,19,23332
2010,Avoyelles,82.1,40,42115
2010,Beauregard,85.4,32,35832
2010,Bienville,77.1,16,14307
2010,Bossier,82.7,98,117637
2010,Caddo,67.8,194,255652
2010,Calcasieu,78.6,163,193023
2010,Caldwell,78.6,163,10148
2010,Cameron,78.6,163,6915
2010,Catahoula,78.6,163,10379
2010,Claiborne,72.4,16,17174
2010,Concordia,89.7,22,20840
2010,De soto,74.6,24,26670
2010,Eastbatonrouge,59.1,246,440937
2010,East carroll,64.35,131.5,7737
2010,East feliciana,69.6,17,20150
2010,Evangeline,89.1,33,33954
2010,Franklin,104,28,20810
2010,Grant,139.7,32,22346
2010,Iberia,68.1,52,72882
2010,Iberville,82.4,31,33389
2010,Jackson,77.6,16,16309
2010,Jefferson,71.3,349,432618
2010,Jefferson davis,78.9,29,31629
2010,Lafayette,71.5,143,222513
2010,Lafourche,89.2,89,96693
2010,Laqsalle,90,16,14909
2010,Lincoln,80.9,34,46854
2010,Livingston,69.2,80,128351
2010,Madison,70,52,12107
2010,Morehouse,70.8,24,27873
2010,Natchitoches,95.9,42,39523
2010,Orleans,73.8,248,347789
2010,Ouachita,85.2,133,153966
2010,Plaquemines,75.4,16,23120
2010,Pointe coupee,68.15,52,22814
2010,Rapides,60.9,88,131742
2010,Red river,69.05,53,9099
2010,Richland,77.2,18,20757
2010,Sabine,70.2,23,24230
2010,St bernard,93.8,30,36821
2010,St charles,66.9,34,52817
2010,St helena,68.05,25,11206
2010,St james,69.2,16,22051
2010,St john the baptist,71.8,27,45588
2010,St landry,74.8,72,83503
2010,St martin,90.5,49,52263
2010,St mary,66.8,40,54553
2010,St tammany,67.1,172,234564
2010,Tangipahoa,81.5,99,121463
2010,Tensas,77.9,91,5229
2010,Terrebonne,74.3,83,111552
2010,Union,80.3,24,22842
2010,Vermilion,85.2,53,58083
2010,Vernon,87.2,37,52737
2010,Washington,82.7,48,47083
2010,Webster,77.9,41,41202
2010,West baton rouge,73.9,17,23964
2010,West carroll,80.6,16.5,11577
2010,West feliciana,87.3,16,15636
2010,Winn,103.4,18,15302
2011,Acadia,80.9,54,61872
2011,Allen,77,21,25740
2011,Ascension,77.8,72,110084
2011,Assumption,84.5,23,23186
2011,Avoyelles,94.8,47,41805
2011,Beauregard,72.6,29,36101
2011,Bienville,95.9,20,14262
2011,Bossier,78.9,91,120122
2011,Caddo,69.2,199,257058
2011,Calcasieu,65.1,134,193881
